Point;Latitude;Longitude
OSBOX;56.8063889; -12.8016667
OSGAR;53.0494444; -7.2702778
PELIG;53.1997222; -7.3333333
PESIT;52.3991667; -5.7566667
PIKIL;56.0000000; -15.0000000
R1296;53.4224306; -6.2900750
R1298;53.4370444; -6.2619778
R1299;53.4202611; -6.2505778
R1300;51.8502694; -8.4964389
R1843;52.6931722; -8.9435194
R1844;52.7100083; -8.9077417
RERKI;52.4427778; -9.1829444
RESNO;55.0000000; -15.0000000
REVNU;54.4666667; -10.1166667
RIKUL;53.0577778; -8.3458333
RILED;52.5000000; -14.0000000
RINUS;53.6441667; -7.6622222
RISAP;53.4409444; -6.6370000
RODEL;50.5000000; -15.0000000
ROKNA;53.6561111; -5.8830556
ROSRO;52.8053056; -8.7042778
ROVAL;51.9737222; -8.5696944
SAMON;51.3225000; -7.4177778
SHA12;52.5923722; -9.1364333
SHA13;52.6091917; -9.1898583
SHA15;52.6110028; -9.2538139
SHA28;52.7509500; -8.8263833
SHA37;52.6814028; -8.9628306
SHA70;52.7988944; -8.6427750
SHA73;52.8114472; -8.5616083
SHA75;52.6406750; -9.0424000
SLANY;52.1586111; -5.8422222
SOMAX;50.0000000; -15.0000000
SOVED;56.0000000; -14.0000000
SUNOT;57.0000000; -15.0000000
SUROX;53.9966667; -6.9933333
SUTEX;52.8243611; -6.9303611
TERBU;52.5875833; -9.4278056
TIPUR;52.5891667; -8.1252778
TISMO;52.1347222; -8.0130556
TOBOR;52.5000000; -15.0000000
TOBRI;52.9547778; -8.6960000
TOMTO;52.8736111; -8.1513889
TORLU;52.9877778; -7.5830556
TULLA;52.8067639; -8.7102028
TULSO;53.1992750; -5.8320722
TURLU;50.0763889; -8.0000000
ULTAG;53.7002778; -6.7381111
UNBEG;52.8050000; -9.7300000
UNLID;51.2091667; -10.7247222
VAPAL;51.8786111; -7.8216667
VATRY;52.5544444; -5.5000000
VENER;54.5000000; -15.0000000
ABIDO;52.4788889; -5.7955556
ADMUP;52.8000000; -6.2333333
ADSIS;53.6841667; -5.6594444
AKELI;54.0000000; -10.0000000
AMDIL;53.2570278; -5.9815000
AMELI;53.4102778; -6.0527778
ARDAM;51.5580556; -7.9975000
ARVOK;53.1552778; -6.0597222
ASGON;52.5984444; -9.1439167
ATLAM;51.6446667; -8.3753611
BABAN;54.0000000; -12.0000000
BAGSO;53.6800000; -5.5000000
BALNA;54.3838889; -7.9788889
BANDU;50.4855556; -10.1475000
BODNO;49.4611111; -8.8722222
BOKLI;53.4644444; -6.8333333
BOYNE;53.7672222; -5.5000000
BURAK;53.0000000; -12.0000000
CKE76;51.7241667; -8.0594444
CKN27;52.1291667; -8.9436111
CKN28;52.1470833; -8.6733333
CKS01;51.4972222; -8.6391667
CKW01;51.8336111; -8.8441667
CKW02;51.7044444; -8.7666667
CKW26;52.0386111; -8.9797222
DESUB;52.9100000; -6.2805556
DEXEN;53.2802778; -5.5000000
DONEB;53.3205556; -6.7233333
DONOX;53.9130556; -8.8177778
DW682;53.0950000; -6.2877778
DW704;53.4011111; -5.4861111
DW705;53.5130556; -5.5238889
DW706;53.6058333; -5.6352778
DW814;53.3963889; -5.5280556
DW815;53.3036111; -5.5630556
DW816;53.2297222; -5.6455556
DWE53;53.1275000; -5.5669444
DWE54;53.4108333; -6.0841667
DWE55;53.3450000; -5.9527778
DWN26;53.5133333; -6.3174444
DWN27;53.6267500; -6.6214167
DWN28;53.5702778; -6.4222222
DWN29;53.7558333; -6.2725000
DWS79;53.3397222; -6.1922222
DWS80;53.2702778; -6.1805556
DWS81;53.3113889; -6.1461111
DWW02;53.4047500; -6.5304167
DWW04;53.7383333; -6.8813889
DWW06;53.5541667; -6.6236111
ELKAM;53.2253611; -6.2716111
ELPOM;52.5603056; -9.2241111
ELTIG;51.7536111; -7.8350000
EPERO;51.8457778; -8.2626944
EPVIN;53.1775000; -5.7016667
ERNAN;54.2788889; -7.3927778
ERVAD;53.1130556; -6.0777778
ESATA;52.8625000; -6.9877778
EVBAK;49.0000000; -10.0000000
FAF17;51.9768611; -8.5559444
FAF35;51.7110278; -8.3987222
FAP28;53.4090556; -6.0507222
GANET;53.5350000; -5.6111111
GAPLI;50.0000000; -8.0000000
GARTI;50.2144444; -8.7566667
GILAN;55.2372222; -7.0511111
GINGI;51.8991389; -8.3315278
GIRAS;53.6391667; -5.9591667
GIVOL;52.0778889; -8.4304444
GOKLI;52.6608333; -6.8094444
GOSDA;51.7077778; -8.4123889
GOSEL;53.3816667; -6.6788889
GOTEM;51.8238889; -7.8200000
GURGA;53.1152778; -6.8333333
INRAD;52.2580556; -9.1502778
INSAL;51.6046111; -8.5511389
INTOP;53.2242778; -6.1089999
IRDEX;53.1958333; -6.0638889
KEKUL;53.1336111; -6.8333333
KELOL;53.6847222; -6.8333333
KENOL;53.3472222; -6.8333333
KENUK;50.0000000; -12.0000000
KEPOR;53.1388889; -6.3347222
KERAV;53.6286111; -5.7650000
KISHA;53.4838889; -5.6394444
KOGAX;53.5719444; -5.6372222
KOMAL;53.0019444; -6.2411111
KOMER;52.8494444; -6.8333333
KONAP;53.9138889; -6.8333333
KUDOM;53.4905556; -5.5538889
KUKAD;49.2419444; -8.9050000
KUSIT;53.3525000; -5.5000000
LAMBU;53.5833333; -5.5000000
LANRO;51.7851111; -8.7092778
LEDGO;51.2400000; -7.5680556
LEGBO;52.8244444; -6.9302778
LIPGO;53.0640000; -5.5000000
LORKO;53.3919444; -5.7494444
LULOX;50.3666667; -8.0000000
LUSAT;53.1666667; -6.2333333
LUVIS;51.3900000; -9.4752778
MAGIT;54.0727778; -6.8333333
MARNO;53.3402778; -5.8994444
MELIK;53.2983333; -7.0000000
MOPAT;51.4986111; -7.0938889
NARMU;53.4452778; -5.8594444
NAVAN;53.7472222; -6.6463889
NENAG;53.1016667; -7.0000000
NESON;54.2294444; -7.1233333
NEVRI;54.0683333; -6.2697222
NIMAT;53.9650278; -5.7421389
ORVEN;53.6650000; -6.1916667
OTNER;53.2875000; -6.3075000
RANAR;53.6744444; -7.3247222
RATKA;49.5000000; -8.0000000
RERKA;52.4684444; -9.1066667
RITIS;53.2575000; -6.6822222
ROBVO;51.6844444; -8.1992500
RONAN;53.1205556; -6.6708333
RONON;53.7094444; -6.6052778
ROPED;52.3083333; -6.6047222
ROTEV;54.0288056; -6.0662222
RUBAR;53.1358333; -5.8013889
SIVNA;53.1977778; -5.6411111
SOPEP;53.3516667; -5.8747222
SORIN;53.1413889; -5.8063889
SOVIX;51.4275000; -8.5627778
SUGAD;53.2897222; -5.5277778
TADEX;54.8566667; -8.2336111
TAKAS;49.0000000; -8.0000000
TAMEL;48.7286111; -10.4972222
TEDVO;53.3219444; -6.0572222
TERDU;52.6520556; -9.3420556
THR06;52.6931722; -8.9435194
THR10;53.4224306; -6.2900750
THR16;53.4375444; -6.2619778
THR17;51.8502694; -8.4964389
THR24;52.7100083; -8.9077417
THR28;53.4202611; -6.2505750
THR34;53.4199056; -6.2495944
THR35;51.8322667; -8.4857889
TIMRA;53.5911111; -6.8333333
TIRUK;51.9973611; -8.7850000
TOPDA;53.2569444; -5.6763889
TULTA;48.5769444; -8.0000000
UGNOR;53.5058333; -6.6622222
ULSIT;52.8694444; -8.8819444
UMDAR;53.6341667; -6.5266667
UPLOM;51.7856667; -8.6899722
VENUX;52.2311111; -9.2816667
WT001;53.5284167; -5.8615556
WT002;53.2571389; -5.9668611
